Length,Diameter,RingAge,PB#,Position,Parent
187.0,1.4,6.0,1.0,PB1,Stump
183.0,1.2,2.0,2.0,PB2,Stump
257.0,2.4,5.0,3.0,PB3,Stump
159.0,1.6,3.0,4.0,PB4,Stump
243.0,1.4,5.0,5.0,PB5,Stump
214.0,1.5,2.0,6.0,PB6,Stump
274.0,1.5,4.0,7.0,PB7,Stump
164.0,1.5,3.0,8.0,PB8,Stump
206.0,1.6,2.0,9.0,PB9,Stump
132.0,1.2,3.0,10.0,PB10,Stump
413.0,4.4,6.0,11.0,PB11,Stump
424.0,2.2,7.0,12.0,PB12,Stump
452.0,3.3,6.0,13.0,PB13,Stump
475.0,4.9,7.0,14.0,PB14,Stump
265.0,1.2,4.0,15.0,PB15,Stump
164.0,1.1,3.0,16.0,PB16,Stump
330.0,3.1,7.0,17.0,PB17,Stump
293.0,2.4,4.0,18.0,PB18,Stump
371.0,3.9,7.0,19.0,PB19,Stump
312.0,1.8,2.0,20.0,PB20,Stump
415.0,4.5,7.0,21.0,PB21,Stump
414.0,4.3,6.0,22.0,PB22,Stump
450.0,4.1,7.0,23.0,PB23,Stump
584.0,5.2,6.0,24.0,PB24,Stump
305.0,4.0,7.0,25.0,PB25,Stump
450.0,5.2,7.0,26.0,PB26,Stump
481.0,5.1,7.0,27.0,PB27,Stump
464.0,3.9,7.0,28.0,PB28,Stump
362.0,3.1,6.0,29.0,PB29,Stump
386.0,4.4,7.0,30.0,PB30,Stump
538.0,5.3,6.0,31.0,PB31,Stump
170.0,2.4,5.0,32.0,PB32,Stump
537.0,5.9,7.0,33.0,PB33,Stump
540.0,6.1,7.0,34.0,PB34,Stump
370.0,7.7,7.0,35.0,PB35,Stump
465.0,5.3,6.0,36.0,PB36,Stump
502.0,5.5,7.0,37.0,PB37,Stump
530.0,4.5,7.0,38.0,PB38,Stump
514.0,5.2,7.0,39.0,PB39,Stump
398.0,3.2,7.0,40.0,PB40,Stump
526.0,4.6,7.0,41.0,PB41,Stump
268.0,5.5,7.0,42.0,PB42,Stump
518.0,6.2,7.0,43.0,PB43,Stump
228.0,1.8,4.0,3.0,SB1,PB3
196.0,2.2,4.0,11.0,SB1,PB11
199.0,1.2,3.0,13.0,SB1,PB13
450.0,4.3,6.0,14.0,SB1,PB14
146.0,1.4,2.0,18.0,SB1,PB18
88.0,1.2,3.0,19.0,SB1,PB19
140.0,1.4,5.0,21.0,SB1,PB21
203.0,1.3,4.0,22.0,SB1,PB22
220.0,1.6,5.0,23.0,SB1,PB23
173.0,2.0,3.0,24.0,SB1,PB24
303.0,3.6,6.0,25.0,SB1,PB25
220.0,1.3,2.0,26.0,SB1,PB26
189.0,1.7,5.0,27.0,SB1,PB27
167.0,1.9,5.0,28.0,SB1,PB28
153.0,1.4,4.0,30.0,SB1,PB30
217.0,1.4,3.0,31.0,SB1,PB31
223.0,1.2,3.0,33.0,SB1,PB33
272.0,1.6,4.0,34.0,SB1,PB34
472.0,3.9,6.0,35.0,SB1,PB35
253.0,1.7,4.0,36.0,SB1,PB36
149.0,1.8,5.0,37.0,SB1,PB37
253.0,2.4,5.0,38.0,SB1,PB38
346.0,2.7,6.0,39.0,SB1,PB39
185.0,1.5,5.0,41.0,SB1,PB41
193.0,2.0,5.0,42.0,SB1,PB42
270.0,1.4,4.0,43.0,SB1,PB43
200.0,1.7,2.0,11.0,SB2,PB11
186.0,1.4,4.0,13.0,SB2,PB13
139.0,1.0,5.0,14.0,SB2,PB14
89.0,1.1,3.0,21.0,SB2,PB21
165.0,1.2,3.0,22.0,SB2,PB22
100.0,1.3,3.0,24.0,SB2,PB24
167.0,1.4,4.0,26.0,SB2,PB26
165.0,1.6,4.0,27.0,SB2,PB27
149.0,1.5,3.0,30.0,SB2,PB30
230.0,2.0,5.0,33.0,SB2,PB33
234.0,2.4,5.0,34.0,SB2,PB34
281.0,1.5,3.0,35.0,SB2,PB35
267.0,1.6,3.0,36.0,SB2,PB36
130.0,1.6,3.0,37.0,SB2,PB37
114.0,1.6,4.0,38.0,SB2,PB38
157.0,1.6,4.0,39.0,SB2,PB39
111.0,1.6,3.0,41.0,SB2,PB41
264.0,2.7,5.0,42.0,SB2,PB42
275.0,1.4,3.0,43.0,SB2,PB43
222.0,1.3,4.0,33.0,SB3,PB33
188.0,2.5,4.0,34.0,SB3,PB34
254.0,2.4,4.0,35.0,SB3,PB35
143.0,1.4,3.0,36.0,SB3,PB36
118.0,2.7,4.0,37.0,SB3,PB37
316.0,2.9,4.0,42.0,SB3,PB42
340.0,2.2,5.0,43.0,SB3,PB43
183.0,1.4,4.0,43.0,SB4,PB43
169.0,2.6,5.0,43.0,SB5,PB43
231.0,2.2,5.0,43.0,SB6,PB43
130.0,1.3,4.0,14.0,TB1,SB1
124.0,1.0,3.0,25.0,TB1,SB1
145.0,1.9,3.0,34.0,TB1,SB3
254.0,1.8,4.0,35.0,TB1,SB1
144.0,1.4,3.0,42.0,TB1,SB2
108.0,1.2,3.0,43.0,TB1,SB5
